# Target Sample Rate: 200 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-11-06 23:43:56.086
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
23:43:59:577,0.0031,0.0051,-0.0254,0.03
23:43:59:577,-0.0017,0.0051,-0.0252,0.03
23:43:59:595,-0.0160,0.0051,-0.0202,0.03
23:43:59:613,-0.0017,0.0099,-0.0197,0.02
23:43:59:630,-0.0065,-0.0046,-0.0141,0.02
23:43:59:647,-0.0113,0.0098,-0.0136,0.02
23:43:59:662,-0.0064,0.0052,-0.0178,0.02
23:43:59:677,-0.0113,0.0053,-0.0079,0.01
23:43:59:693,-0.0018,0.0099,-0.0125,0.02
23:43:59:712,-0.0113,0.0004,-0.0120,0.02
23:43:59:730,-0.0113,0.0148,-0.0069,0.02
23:43:59:738,-0.0065,0.0053,-0.0114,0.01
23:43:59:742,-0.0065,0.0100,-0.0113,0.02
23:43:59:750,-0.0112,0.0052,-0.0207,0.02
23:43:59:765,-0.0065,0.0052,-0.0111,0.01
23:43:59:781,-0.0065,0.0052,-0.0061,0.01
23:43:59:794,-0.0112,0.0098,0.0035,0.02
23:43:59:795,-0.0064,0.0050,-0.0013,0.01
23:43:59:798,0.0031,0.0050,-0.0154,0.02
23:43:59:810,-0.0065,-0.0044,-0.0058,0.01
23:43:59:810,-0.0112,0.0052,0.0133,0.02
23:43:59:813,-0.0017,0.0053,-0.0011,0.01
23:43:59:827,-0.0113,0.0053,0.0037,0.01
23:43:59:846,-0.0159,0.0099,0.0036,0.02
23:43:59:855,-0.0064,0.0052,0.0083,0.01
23:43:59:871,-0.0017,0.0100,0.0082,0.01
23:43:59:879,-0.0207,0.0100,0.0126,0.03
23:43:59:891,0.0031,0.0053,0.0125,0.01
23:43:59:892,-0.0064,0.0148,0.0029,0.02
23:43:59:893,-0.0064,0.0053,0.0172,0.02
23:43:59:910,-0.0112,0.0053,0.0170,0.02
23:43:59:923,-0.0113,0.0053,0.0119,0.02
23:43:59:924,-0.0018,0.0006,0.0165,0.02
23:43:59:929,-0.0066,0.0102,0.0259,0.03
23:43:59:951,-0.0161,0.0101,0.0019,0.02
23:43:59:976,-0.0115,0.0053,0.0015,0.01
