# Target Sample Rate: 200 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-11-06 23:43:56.086
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
23:45:10:531,-0.0118,0.1901,-0.1590,0.25
23:45:10:537,0.0448,0.1642,-0.1006,0.20
23:45:10:550,0.1006,0.1532,-0.0569,0.19
23:45:10:557,0.0904,0.1643,0.0438,0.19
23:45:10:568,0.0649,0.1345,0.0816,0.17
23:45:10:570,0.0447,0.1142,0.0953,0.16
23:45:10:572,0.0629,0.0842,0.1373,0.17
23:45:10:586,0.0384,0.0920,0.1315,0.17
23:45:10:602,-0.0612,0.1176,0.1521,0.20
23:45:10:607,0.0308,0.0783,0.2053,0.22
23:45:10:619,0.0541,0.0835,0.2086,0.23
23:45:10:620,0.0722,0.1071,0.2167,0.25
23:45:10:623,0.0759,0.1111,0.2200,0.26
23:45:10:639,0.0842,0.1143,0.1806,0.23
23:45:10:655,0.0497,0.1448,0.0079,0.15
23:45:10:672,0.1159,0.0527,-0.2025,0.24
23:45:10:690,0.0867,0.1100,-0.2166,0.26
23:45:10:706,-0.0189,0.0980,-0.2443,0.26
23:45:10:723,0.0489,0.0049,-0.3818,0.38
23:45:10:742,-0.0004,0.1104,-0.3963,0.41
23:45:10:759,0.0764,0.0414,-0.3241,0.34
23:45:10:775,0.0618,0.0058,-0.1346,0.15
23:45:10:794,-0.0811,-0.0228,-0.0913,0.12
23:45:10:812,-0.0697,-0.0214,-0.0813,0.11
23:45:10:828,0.0314,-0.0054,-0.0801,0.09
23:45:10:850,-0.0167,-0.0319,-0.2029,0.21
23:45:10:865,-0.0519,-0.0089,-0.4349,0.44
23:45:10:886,0.0330,-0.1167,-0.6492,0.66
23:45:10:903,0.0066,-0.2050,-0.7158,0.74
23:45:10:909,-0.0207,-0.3250,-0.5165,0.61
23:45:10:924,0.0233,-0.2868,-0.4606,0.54
23:45:10:942,0.1414,-0.1344,-0.3978,0.44
23:45:10:960,0.0767,0.0011,0.0492,0.09
23:45:10:977,0.1369,0.1077,0.7591,0.78
23:45:10:995,0.1930,0.2979,1.0775,1.13
23:45:11:012,0.0803,0.2673,1.2422,1.27
23:45:11:033,-0.1811,0.2312,1.2059,1.24
23:45:11:050,-0.2383,0.3154,0.9064,0.99
23:45:11:069,-0.0309,0.2616,0.7619,0.81
23:45:11:087,0.0153,0.2641,0.6112,0.67
23:45:11:106,0.0809,0.2244,0.6298,0.67
23:45:11:123,0.1147,0.2227,0.5908,0.64
23:45:11:139,-0.0426,0.2010,0.4409,0.49
23:45:11:156,-0.0992,0.1127,0.2190,0.27
23:45:11:172,-0.0728,0.0647,-0.0917,0.13
23:45:11:189,-0.0141,0.0328,-0.2487,0.25
23:45:11:207,-0.0098,-0.0728,-0.3295,0.34
23:45:11:214,-0.0782,-0.1115,-0.3251,0.35
23:45:11:230,-0.0600,-0.0704,-0.2863,0.30
23:45:11:239,0.1494,-0.0748,-0.0276,0.17
23:45:11:253,0.1763,-0.0815,0.0201,0.20
23:45:11:260,0.0805,-0.0653,0.0997,0.14
23:45:11:276,0.0175,-0.0783,0.0800,0.11
23:45:11:296,-0.1017,-0.0998,-0.0019,0.14
23:45:11:315,0.0227,-0.0698,-0.1233,0.14
23:45:11:331,-0.0399,0.0239,-0.1666,0.17
23:45:11:345,0.0492,0.0284,-0.1017,0.12
23:45:11:345,0.1159,0.0068,-0.0440,0.12
23:45:11:350,0.2281,-0.0310,0.0367,0.23
23:45:11:356,0.2259,-0.0713,0.0839,0.25
23:45:11:360,0.1850,-0.0784,0.1023,0.23
23:45:11:370,0.1012,-0.0810,0.0541,0.14
23:45:11:370,0.0131,-0.0458,0.0255,0.05
23:45:11:375,-0.0743,-0.0158,0.0160,0.08
23:45:11:387,-0.1231,0.0330,0.0257,0.13
23:45:11:419,-0.0550,0.0828,0.0256,0.10
23:45:11:426,-0.0339,0.1057,0.1273,0.17
23:45:11:438,-0.0104,0.0966,0.1263,0.16
23:45:11:438,0.0082,0.0968,0.1348,0.17
23:45:11:441,0.0028,0.0920,0.1005,0.14
23:45:11:455,0.0116,0.0631,0.0712,0.10
23:45:11:473,-0.1670,0.0517,0.0603,0.18
23:45:11:491,-0.1599,0.1275,0.0369,0.21
23:45:11:511,0.0386,0.0660,0.0326,0.08
23:45:11:516,0.0652,-0.0962,-0.0418,0.12
23:45:11:522,0.0247,-0.0499,-0.0743,0.09
23:45:11:526,-0.0582,-0.0184,-0.1208,0.14
23:45:11:536,-0.1354,0.0082,-0.1574,0.21
23:45:11:538,-0.1546,0.0254,-0.1701,0.23
23:45:11:542,-0.1163,0.0284,-0.1590,0.20
23:45:11:555,-0.0540,0.0079,-0.1576,0.17
23:45:11:556,0.0224,-0.0122,-0.1372,0.14
23:45:11:557,0.1175,-0.0273,-0.0934,0.15
23:45:11:575,0.1977,-0.0327,-0.0831,0.22
23:45:11:591,0.1081,-0.0553,-0.1136,0.17
23:45:11:610,0.0398,-0.0717,-0.2285,0.24
23:45:11:616,0.0340,0.0348,-0.3142,0.32
23:45:11:622,0.0224,0.0199,-0.3445,0.35
23:45:11:627,0.0252,-0.0090,-0.3460,0.35
23:45:11:637,0.0329,-0.0469,-0.3571,0.36
23:45:11:638,0.0313,-0.0464,-0.3919,0.40
23:45:11:641,0.0348,-0.0267,-0.3980,0.40
23:45:11:667,0.0244,-0.0023,-0.4231,0.42
23:45:11:682,0.1258,-0.0062,-0.3302,0.35
23:45:11:692,0.1638,-0.0213,-0.2729,0.32
23:45:11:704,0.1013,0.0049,-0.2613,0.28
23:45:11:723,-0.0068,0.0130,-0.1894,0.19
23:45:11:743,0.1078,0.0751,-0.1038,0.17
23:45:11:760,0.0756,0.0438,-0.0446,0.10
23:45:11:767,0.0571,0.0864,-0.1238,0.16
23:45:11:773,0.0277,0.0846,-0.1655,0.19
23:45:11:777,-0.0201,0.0781,-0.1880,0.20
23:45:11:788,-0.0292,0.0573,-0.2387,0.25
23:45:11:790,-0.0379,0.0367,-0.2702,0.28
23:45:11:792,-0.0175,0.0257,-0.3157,0.32
23:45:11:808,-0.0063,0.0244,-0.3704,0.37
23:45:11:828,-0.0980,0.0120,-0.5415,0.55
23:45:11:833,-0.3208,0.0318,-0.7852,0.85
23:45:11:838,-0.2603,0.0280,-0.9079,0.94
23:45:11:854,-0.1149,-0.0734,-1.0892,1.10
23:45:11:874,-0.2382,-0.1458,-1.5241,1.55
23:45:11:896,-0.6294,-0.2576,-2.3113,2.41
23:45:11:903,-0.2708,-0.5688,-3.1047,3.17
23:45:11:908,-0.0248,-0.6906,-3.3480,3.42
23:45:11:921,0.1948,-0.7540,-3.5769,3.66
23:45:11:928,0.2977,-0.8602,-3.5276,3.64
23:45:11:939,0.2718,-0.9375,-3.4222,3.56
23:45:11:940,0.4349,-0.9941,-3.2168,3.39
23:45:11:943,0.5757,-1.0395,-3.0451,3.27
23:45:11:957,0.6706,-1.0643,-2.8977,3.16
23:45:11:974,0.7602,-1.0207,-2.3073,2.64
23:45:11:993,0.7306,-0.9358,-1.7880,2.15
23:45:12:009,1.0482,-0.8935,-1.6112,2.12
23:45:12:024,1.5901,-0.9574,-1.4511,2.36
23:45:12:040,0.1974,-0.8545,-0.5105,1.01
23:45:12:059,-0.2180,-0.4389,0.3313,0.59
23:45:12:076,0.4327,0.1063,1.1286,1.21
23:45:12:094,0.6816,-0.0690,3.0652,3.14
23:45:12:111,0.5309,-0.0493,4.2187,4.25
23:45:12:119,0.6244,0.1426,4.5807,4.63
23:45:12:124,0.7399,0.2710,4.4669,4.54
23:45:12:129,0.8976,0.3190,4.2954,4.40
23:45:12:140,1.0218,0.3535,4.0519,4.19
23:45:12:141,1.0510,0.3702,3.7794,3.94
23:45:12:145,0.9668,0.3452,3.5449,3.69
23:45:12:160,0.7504,0.2978,3.3435,3.44
23:45:12:183,-0.1274,0.2419,2.6563,2.67
23:45:12:201,-0.0633,0.3408,1.3402,1.38
23:45:12:215,-0.2176,0.1112,0.8276,0.86
23:45:12:216,-0.4213,0.0165,0.7084,0.82
23:45:12:216,-0.6158,-0.0249,0.6660,0.91
23:45:12:222,-0.8067,-0.0653,0.5905,1.00
23:45:12:239,-1.1238,0.0396,0.3596,1.18
23:45:12:258,-0.7773,0.1923,0.2152,0.83
23:45:12:276,-0.5108,0.0806,0.4877,0.71
23:45:12:294,-0.0308,0.2892,0.4555,0.54
23:45:12:299,0.3558,0.2101,0.7809,0.88
23:45:12:305,0.4209,0.1689,0.7752,0.90
23:45:12:309,0.4729,0.1121,0.8169,0.95
23:45:12:321,0.4011,0.0681,0.8917,0.98
23:45:12:322,0.2484,0.0562,0.9995,1.03
23:45:12:324,0.0571,0.0953,1.1022,1.11
23:45:12:337,-0.0776,0.1617,1.1423,1.16
23:45:12:337,-0.2230,0.1888,1.0819,1.12
23:45:12:339,-0.3254,0.2149,1.0836,1.15
23:45:12:345,-0.3900,0.2500,1.1378,1.23
23:45:12:356,-0.4314,0.3084,1.1489,1.27
23:45:12:357,-0.3539,0.3710,1.1361,1.25
23:45:12:359,-0.2965,0.3231,1.0993,1.18
23:45:12:378,-0.2636,0.2366,1.0578,1.12
23:45:12:403,0.0755,0.1489,0.6953,0.72
23:45:12:410,-0.1123,0.0809,0.1825,0.23
23:45:12:425,-0.1255,0.1163,0.0744,0.19
23:45:12:444,-0.0094,0.1763,-0.0058,0.18
23:45:12:462,0.4306,0.0539,0.0492,0.44
23:45:12:479,0.3946,0.0463,-0.1085,0.41
23:45:12:485,-0.0201,0.0798,-0.5646,0.57
23:45:12:490,-0.1213,0.0615,-0.4858,0.50
23:45:12:495,-0.1751,0.0479,-0.4932,0.53
23:45:12:509,-0.1907,0.0725,-0.6440,0.68
23:45:12:511,-0.2012,0.1018,-0.6320,0.67
23:45:12:511,-0.1688,0.1408,-0.5866,0.63
23:45:12:530,-0.1222,0.1799,-0.5363,0.58
23:45:12:536,0.3221,0.2056,-0.2063,0.43
23:45:12:541,0.3953,0.1621,-0.1513,0.45
23:45:12:546,0.4426,0.1372,-0.1346,0.48
23:45:12:557,0.4258,0.0972,-0.2231,0.49
23:45:12:558,0.3363,0.0134,-0.3019,0.45
23:45:12:562,0.2032,-0.0280,-0.3186,0.38
23:45:12:578,0.0848,-0.0365,-0.3977,0.41
23:45:12:597,-0.2932,0.1459,-0.6209,0.70
23:45:12:606,-0.1658,-0.0309,-0.7072,0.73
23:45:12:611,-0.0996,-0.0614,-0.7150,0.72
23:45:12:623,0.0641,-0.0481,-0.6989,0.70
23:45:12:645,0.6088,0.0693,-0.7367,0.96
23:45:12:663,0.4792,-0.0641,-0.2979,0.57
23:45:12:671,0.0649,0.2795,0.2106,0.36
23:45:12:676,0.0648,0.3242,0.3190,0.46
23:45:12:691,0.0550,0.2975,0.4849,0.57
23:45:12:696,0.3492,0.1975,0.8956,0.98
23:45:12:716,0.4423,0.1691,0.8603,0.98
23:45:12:735,0.3264,0.1850,0.7364,0.83
23:45:12:753,0.2060,0.3091,0.7695,0.85
23:45:12:772,0.1461,0.6178,0.9899,1.18
23:45:12:789,-0.0367,0.2691,0.9395,0.98
23:45:12:804,0.2267,0.2660,0.7006,0.78
23:45:12:821,0.0338,0.3755,0.8690,0.95
23:45:12:839,-0.5188,0.3660,1.1331,1.30
23:45:12:856,-0.7631,0.6956,1.4414,1.77
23:45:12:872,-1.0719,0.9563,1.6694,2.20
23:45:12:889,0.4330,0.8110,1.8771,2.09
23:45:12:907,0.7852,0.4597,2.0389,2.23
23:45:12:924,0.3895,0.1827,1.3640,1.43
23:45:12:941,0.0664,0.7454,0.1964,0.77
23:45:12:959,-0.5424,1.2308,0.2446,1.37
23:45:12:974,-0.1552,1.0713,0.5173,1.20
23:45:12:990,-0.9575,0.3010,1.1729,1.54
23:45:13:009,-0.5447,0.1942,1.0252,1.18
23:45:13:027,-0.7492,0.2504,0.9977,1.27
23:45:13:042,-0.9537,1.1749,0.8520,1.74
23:45:13:058,-0.9918,1.5366,0.9725,2.07
23:45:13:076,-0.0459,0.8242,1.0202,1.31
23:45:13:092,1.4135,-0.2171,0.8872,1.68
23:45:13:108,1.6065,-0.4754,-0.0418,1.68
23:45:13:124,0.6206,-0.0008,-0.4480,0.77
23:45:13:142,-0.2246,0.2456,-0.5004,0.60
23:45:13:160,-1.2432,0.1805,-0.2880,1.29
23:45:13:178,-1.4772,0.1159,0.0897,1.48
23:45:13:197,-0.4441,-0.6188,0.1197,0.77
23:45:13:214,0.0827,-0.9578,-0.3064,1.01
23:45:13:232,0.0476,-0.2536,-1.0069,1.04
23:45:13:249,-0.3838,-0.0772,-0.8090,0.90
23:45:13:255,-0.5250,-0.1396,-0.0951,0.55
23:45:13:280,-0.3979,-0.3495,0.1149,0.54
23:45:13:311,0.0425,-0.8005,0.4032,0.90
23:45:13:332,-0.3736,-0.3102,0.1404,0.51
23:45:13:349,-0.1389,-0.3030,0.3293,0.47
23:45:13:368,0.3362,-0.1168,0.1742,0.40
23:45:13:384,0.0286,-0.2746,0.4306,0.51
23:45:13:401,-0.6147,-0.4433,0.3221,0.82
23:45:13:409,-0.9170,-0.1595,0.3768,1.00
23:45:13:415,-0.8985,-0.1405,0.4239,1.00
23:45:13:424,-0.9327,-0.1547,0.4710,1.06
23:45:13:425,-0.8707,-0.1400,0.4367,0.98
23:45:13:430,-0.6417,-0.1298,0.3117,0.73
23:45:13:447,-0.3140,-0.1481,0.1676,0.39
23:45:13:455,0.4242,-0.4087,-0.1059,0.60
23:45:13:460,0.3851,-0.4007,-0.1537,0.58
23:45:13:465,0.3512,-0.4015,-0.1727,0.56
23:45:13:477,0.3230,-0.4399,-0.1868,0.58
23:45:13:479,0.2580,-0.5252,-0.2057,0.62
23:45:13:479,0.1903,-0.6144,-0.2342,0.68
23:45:13:499,0.0864,-0.6213,-0.2913,0.69
23:45:13:505,-0.4265,-0.2336,-0.3228,0.58
23:45:13:510,-0.4748,-0.2314,-0.2458,0.58
23:45:13:515,-0.4605,-0.2333,-0.1402,0.53
23:45:13:527,-0.4034,-0.2154,-0.0921,0.47
23:45:13:527,-0.3621,-0.2113,-0.0872,0.43
23:45:13:530,-0.3321,-0.2067,-0.0822,0.40
23:45:13:551,-0.2854,-0.1825,-0.0916,0.35
23:45:13:560,-0.2827,-0.4019,0.1903,0.53
23:45:13:565,-0.3516,-0.4058,0.1374,0.55
23:45:13:575,-0.4454,-0.4197,0.0989,0.62
23:45:13:575,-0.5012,-0.4771,0.0987,0.70
23:45:13:579,-0.4374,-0.5109,0.0985,0.68
23:45:13:597,-0.3777,-0.5016,0.0027,0.63
23:45:13:618,-0.2431,-0.2204,-0.2230,0.40
23:45:13:625,0.3881,-0.2829,0.1778,0.51
23:45:13:630,0.5131,-0.3497,0.2333,0.66
23:45:13:641,0.6050,-0.3737,0.2646,0.76
23:45:13:641,0.6351,-0.3410,0.2719,0.77
23:45:13:645,0.6655,-0.2810,0.2839,0.78
23:45:13:664,0.6727,-0.2270,0.3290,0.78
23:45:13:682,0.2373,-0.2111,0.3176,0.45
23:45:13:691,-0.5024,-0.1880,0.1439,0.56
23:45:13:698,-0.5115,-0.2063,0.0810,0.56
23:45:13:710,-0.4414,-0.2290,0.0471,0.50
23:45:13:716,-0.2199,-0.2831,-0.1189,0.38
23:45:13:734,-0.1945,-0.2740,-0.1464,0.37
23:45:13:755,0.0155,-0.1471,-0.3775,0.41
23:45:13:773,-0.1731,-0.3767,-0.2558,0.49
23:45:13:793,0.0930,-0.3480,-0.3009,0.47
23:45:13:810,0.3244,-0.1466,0.1054,0.37
23:45:13:828,0.1465,-0.3208,0.6203,0.71
23:45:13:845,-0.0351,0.4115,-1.7009,1.75
23:45:13:863,-0.2110,-0.4673,0.3001,0.59
23:45:13:881,0.0430,-0.1267,0.0602,0.15
23:45:13:898,-0.2879,-0.2139,0.0883,0.37
23:45:13:916,-0.2296,-0.1051,0.0545,0.26
23:45:13:934,0.0210,0.0228,0.0876,0.09
23:45:13:951,-0.0087,0.0140,0.0538,0.06
23:45:13:968,0.0516,0.0307,0.0868,0.11
23:45:13:984,0.0167,0.0348,0.0291,0.05
23:45:14:001,0.0337,0.0765,0.1005,0.13
23:45:14:007,0.1101,0.1399,0.0186,0.18
23:45:14:013,0.1049,0.1021,0.0473,0.15
23:45:14:018,0.1094,0.0067,0.0950,0.15
23:45:14:027,-0.0534,-0.0647,0.0709,0.11
23:45:14:028,-0.1444,-0.1117,0.0325,0.19
23:45:14:032,-0.1637,-0.1535,0.0611,0.23
23:45:14:052,-0.1115,-0.1280,0.0323,0.17
23:45:14:062,0.0093,0.0451,0.0463,0.07
23:45:14:067,0.0118,-0.0348,0.1036,0.11
23:45:14:084,-0.0043,-0.0910,0.0987,0.13
23:45:14:093,0.1654,-0.0099,0.1320,0.21
23:45:14:097,-0.1122,0.0812,-0.0307,0.14
23:45:14:111,-0.0161,-0.0003,0.1415,0.14
23:45:14:137,-0.0305,-0.0440,0.0169,0.06
23:45:14:157,0.0353,0.0273,0.1316,0.14
23:45:14:163,0.0976,-0.0344,0.3511,0.37
23:45:14:169,-0.0520,0.0328,-0.0559,0.08
23:45:14:181,0.0141,0.0279,0.1307,0.13
23:45:14:182,0.0180,0.0230,0.0541,0.06
23:45:14:202,0.0213,0.0181,0.0922,0.10
23:45:14:220,0.0044,0.0228,0.0584,0.06
23:45:14:228,-0.0072,0.0275,0.0676,0.07
23:45:14:233,0.0066,0.0227,0.0580,0.06
23:45:14:244,-0.0131,0.0275,0.0627,0.07
23:45:14:245,0.0151,0.0275,0.0674,0.07
23:45:14:248,0.0100,0.0227,0.0673,0.07
23:45:14:266,0.0145,0.0179,0.0529,0.06
23:45:14:285,-0.0004,0.0274,0.0717,0.08
23:45:14:292,0.0043,0.0226,0.0571,0.06
23:45:14:308,0.0045,0.0226,0.0618,0.07
23:45:14:324,0.0140,0.0226,0.0472,0.05
23:45:14:353,0.0096,0.0176,0.0704,0.07
23:45:14:375,0.0004,0.0221,0.0576,0.06
23:45:14:395,0.0051,0.0220,0.0178,0.03
23:45:14:412,-0.0145,0.0503,0.0209,0.06
23:45:14:436,0.0002,0.0261,0.0333,0.04
23:45:14:452,0.0049,0.0352,0.0509,0.06
23:45:14:459,-0.0001,0.0203,0.0492,0.05
23:45:14:464,0.0093,0.0297,0.0535,0.06
23:45:14:469,-0.0003,0.0201,0.0436,0.05
23:45:14:479,0.0091,0.0200,0.0385,0.04
23:45:14:481,0.0043,0.0200,0.0477,0.05
23:45:14:484,0.0042,0.0104,0.0520,0.05
23:45:14:503,-0.0054,0.0151,0.0373,0.04
23:45:14:524,-0.0008,0.0196,0.0453,0.05
23:45:14:552,0.0038,0.0143,0.0534,0.06
23:45:14:569,-0.0012,0.0185,0.0419,0.05
23:45:14:589,-0.0012,0.0134,0.0312,0.03
23:45:14:604,-0.0014,0.0227,0.0397,0.05
23:45:14:609,0.0080,0.0224,0.0291,0.04
23:45:14:626,-0.0017,0.0222,0.0285,0.04
23:45:14:635,0.0076,0.0267,0.0229,0.04
23:45:14:649,0.0076,0.0076,0.0227,0.03
23:45:14:667,-0.0019,0.0122,0.0221,0.03
23:45:14:685,-0.0068,0.0216,0.0169,0.03
23:45:14:700,0.0027,0.0260,0.0212,0.03
23:45:14:710,-0.0023,0.0115,0.0158,0.02
23:45:14:715,0.0024,0.0258,0.0062,0.03
23:45:14:730,-0.0024,0.0209,0.0109,0.02
23:45:14:735,0.0024,0.0064,0.0060,0.01
23:45:14:755,-0.0024,0.0159,0.0107,0.02
23:45:14:778,-0.0024,0.0062,0.0010,0.01
23:45:14:800,-0.0026,0.0205,0.0104,0.02
23:45:14:819,-0.0074,0.0249,0.0005,0.03
23:45:14:839,-0.0074,0.0199,0.0004,0.02
23:45:14:857,-0.0123,0.0244,-0.0044,0.03
23:45:14:876,-0.0028,0.0193,0.0051,0.02
23:45:14:892,-0.0028,0.0096,0.0001,0.01
23:45:14:911,0.0019,0.0192,0.0001,0.02
23:45:14:928,-0.0030,0.0190,0.0096,0.02
23:45:14:947,0.0018,0.0141,0.0001,0.01
23:45:14:965,-0.0079,0.0093,0.0142,0.02
23:45:14:984,-0.0127,0.0186,0.0044,0.02
23:45:14:991,-0.0032,0.0184,0.0232,0.03
23:45:14:996,-0.0032,0.0135,-0.0007,0.01
23:45:15:001,0.0015,0.0182,0.0135,0.02
23:45:15:012,-0.0081,0.0135,0.0087,0.02
23:45:15:012,0.0014,0.0135,0.0181,0.02
23:45:15:017,0.0060,0.0135,0.0084,0.02
23:45:15:035,-0.0083,0.0135,0.0084,0.02
23:45:15:056,-0.0081,0.0277,0.0129,0.03
23:45:15:074,-0.0034,0.0179,0.0125,0.02
23:45:15:090,-0.0034,0.0178,0.0028,0.02
23:45:15:106,0.0013,0.0083,0.0215,0.02
23:45:15:124,-0.0036,0.0130,0.0118,0.02
23:45:15:140,-0.0084,0.0224,0.0115,0.03
23:45:15:158,-0.0036,0.0174,0.0113,0.02
23:45:15:177,0.0009,0.0267,0.0112,0.03
23:45:15:194,-0.0041,0.0122,0.0203,0.02
23:45:15:212,0.0054,0.0216,0.0246,0.03
23:45:15:228,-0.0044,0.0072,0.0050,0.01
23:45:15:246,-0.0140,0.0119,0.0048,0.02
23:45:15:252,-0.0044,0.0119,0.0235,0.03
23:45:15:267,0.0004,0.0215,0.0139,0.03
23:45:15:291,-0.0092,0.0167,0.0183,0.03
23:45:15:310,0.0002,0.0164,0.0225,0.03
23:45:15:317,0.0049,0.0162,0.0126,0.02
23:45:15:329,-0.0142,0.0209,0.0171,0.03
23:45:15:330,-0.0047,0.0160,0.0074,0.02
23:45:15:332,-0.0046,0.0207,0.0264,0.03
23:45:15:350,0.0001,0.0112,0.0072,0.01
23:45:15:370,-0.0094,0.0158,-0.0027,0.02
23:45:15:388,-0.0045,0.0111,0.0113,0.02
23:45:15:406,-0.0047,0.0203,0.0111,0.02
23:45:15:425,-0.0048,0.0060,-0.0036,0.01
23:45:15:441,-0.0095,0.0107,0.0152,0.02
23:45:15:458,0.0001,0.0108,0.0150,0.02
23:45:15:474,-0.0048,0.0107,0.0049,0.01
23:45:15:488,-0.0048,0.0059,0.0142,0.02
23:45:15:488,-0.0001,0.0107,0.0045,0.01
23:45:15:495,-0.0049,0.0108,0.0139,0.02
23:45:15:498,-0.0144,0.0108,0.0138,0.02
23:45:15:503,-0.0049,0.0108,0.0137,0.02
23:45:15:525,-0.0049,0.0108,0.0041,0.01
23:45:15:533,-0.0047,0.0107,0.0228,0.03
23:45:15:546,-0.0047,0.0107,0.0178,0.02
23:45:15:553,-0.0001,0.0106,0.0126,0.02
23:45:15:564,-0.0049,0.0059,0.0268,0.03
23:45:15:565,-0.0049,0.0154,0.0123,0.02
23:45:15:569,-0.0002,0.0059,0.0217,0.02
23:45:15:582,-0.0050,0.0154,0.0168,0.02
23:45:15:598,-0.0051,0.0059,0.0022,0.01
23:45:15:603,-0.0004,0.0153,0.0115,0.02
23:45:15:615,-0.0005,0.0200,0.0114,0.02
23:45:15:616,-0.0005,0.0199,0.0160,0.03
23:45:15:619,-0.0053,0.0056,0.0064,0.01
23:45:15:634,-0.0006,0.0199,0.0111,0.02
23:45:15:651,-0.0055,0.0102,0.0203,0.02
23:45:15:667,0.0041,0.0101,0.0058,0.01
23:45:15:685,-0.0008,0.0146,0.0151,0.02
23:45:15:702,-0.0104,0.0193,-0.0041,0.02
23:45:15:719,-0.0055,0.0097,0.0053,0.01
23:45:15:735,-0.0055,0.0096,0.0099,0.01
23:45:15:751,-0.0006,0.0095,0.0052,0.01
23:45:15:769,0.0040,0.0094,0.0095,0.01
23:45:15:786,-0.0056,0.0095,0.0046,0.01
23:45:15:805,-0.0057,0.0095,0.0140,0.02
23:45:15:822,-0.0010,0.0142,0.0091,0.02
23:45:15:838,-0.0106,-0.0001,0.0136,0.02
23:45:15:854,0.0036,0.0094,0.0038,0.01
23:45:15:872,-0.0058,0.0141,0.0180,0.02
23:45:15:889,-0.0011,0.0140,-0.0012,0.01
23:45:15:905,-0.0058,0.0092,0.0128,0.02
23:45:15:923,-0.0106,0.0281,0.0079,0.03
23:45:15:942,-0.0057,0.0088,0.0076,0.01
23:45:15:958,-0.0106,0.0087,0.0024,0.01
23:45:15:976,-0.0012,-0.0008,0.0069,0.01
23:45:15:994,-0.0014,0.0088,-0.0078,0.01
23:45:16:011,-0.0110,0.0087,0.0064,0.02
23:45:16:030,0.0034,0.0089,0.0108,0.01
23:45:16:047,-0.0063,0.0136,0.0155,0.02
23:45:16:066,-0.0064,0.0041,0.0010,0.01
23:45:16:088,-0.0061,0.0137,0.0245,0.03
23:45:16:107,-0.0157,0.0043,0.0145,0.02
23:45:16:124,-0.0061,0.0187,0.0142,0.02
23:45:16:144,-0.0014,0.0091,0.0235,0.03
23:45:16:162,0.0034,0.0186,0.0089,0.02
23:45:16:179,-0.0015,0.0091,0.0038,0.01
23:45:16:197,-0.0111,0.0138,0.0131,0.02
23:45:16:213,0.0032,0.0185,-0.0013,0.02
23:45:16:230,-0.0064,0.0043,0.0033,0.01
23:45:16:247,-0.0017,0.0092,0.0174,0.02
23:45:16:265,-0.0017,0.0091,0.0029,0.01
23:45:16:281,-0.0113,0.0138,0.0123,0.02
23:45:16:297,-0.0114,0.0140,0.0026,0.02
23:45:16:316,-0.0114,0.0186,0.0073,0.02
23:45:16:332,-0.0067,0.0137,0.0215,0.03
23:45:16:338,0.0026,0.0136,0.0120,0.02
23:45:16:351,0.0026,0.0135,-0.0119,0.02
23:45:16:352,-0.0117,0.0136,-0.0213,0.03
23:45:16:352,-0.0068,0.0136,0.0216,0.03
23:45:16:368,-0.0021,0.0088,-0.0023,0.01
23:45:16:386,-0.0165,0.0182,-0.0020,0.02
23:45:16:392,-0.0069,0.0133,0.0172,0.02
23:45:16:397,-0.0116,0.0134,-0.0161,0.02
23:45:16:402,-0.0116,0.0086,-0.0255,0.03
23:45:16:414,0.0027,-0.0009,-0.0063,0.01
23:45:16:415,-0.0069,0.0134,-0.0157,0.02
23:45:16:417,-0.0069,-0.0009,-0.0204,0.02
23:45:16:422,-0.0070,0.0088,-0.0249,0.03
23:45:16:435,-0.0070,0.0040,0.0038,0.01
23:45:16:436,-0.0023,0.0135,-0.0247,0.03
23:45:16:437,-0.0023,0.0136,-0.0055,0.01
23:45:16:453,-0.0071,0.0041,-0.0055,0.01
23:45:16:469,-0.0025,0.0136,-0.0194,0.02
23:45:16:485,-0.0074,0.0087,-0.0188,0.02
23:45:16:503,-0.0075,0.0087,-0.0374,0.04
23:45:16:531,-0.0076,0.0183,-0.0320,0.04
23:45:16:548,-0.0077,0.0088,-0.0261,0.03
23:45:16:565,-0.0076,0.0184,-0.0204,0.03
23:45:16:581,-0.0029,0.0087,-0.0151,0.02
23:45:16:597,-0.0078,0.0039,-0.0383,0.04
23:45:16:616,-0.0078,0.0134,-0.0235,0.03
23:45:16:634,-0.0076,0.0182,-0.0228,0.03
23:45:16:650,-0.0074,0.0041,-0.0126,0.02
23:45:16:667,-0.0073,0.0090,-0.0217,0.02
23:45:16:684,-0.0072,0.0138,-0.0164,0.02
23:45:16:700,-0.0073,0.0186,-0.0160,0.03
23:45:16:717,-0.0073,0.0042,-0.0156,0.02
23:45:16:735,0.0023,0.0090,-0.0057,0.01
23:45:16:752,-0.0025,0.0090,-0.0101,0.01
23:45:16:770,-0.0024,0.0042,-0.0052,0.01
23:45:16:787,-0.0024,0.0090,-0.0095,0.01
23:45:16:806,0.0023,0.0043,0.0001,0.00
23:45:16:822,-0.0121,0.0091,-0.0046,0.02
23:45:16:840,0.0023,0.0139,-0.0140,0.02
23:45:16:860,-0.0024,0.0187,-0.0043,0.02
23:45:16:878,-0.0025,0.0091,0.0006,0.01
